,sequence,start,end
0,A0A023PXA5,1,189
1,A0A023PXB0,1,110
2,A0A023PXB5,24,102
3,A0A023PXC2,19,115
4,A0A023PXC7,1,143
5,A0A023PXD5,1,136
6,A0A023PXG3,51,133
7,A0A023PXG7,1,101
8,A0A023PXH2,1,111
9,A0A023PXI0,33,129
10,A0A023PXI4,1,105
11,A0A023PXI5,43,187
12,A0A023PXI8,1,105
13,A0A023PXJ3,1,115
14,A0A023PXJ7,1,106
15,A0A023PXK7,98,237
16,A0A023PXL1,1,197
17,A0A023PXL7,60,144
18,A0A023PXM2,1,81
19,A0A023PXM7,37,112
20,A0A023PXN3,1,111
21,A0A023PXN9,1,150
22,A0A023PXP4,29,132
23,A0A023PXP7,1,132
24,A0A023PYD0,57,140
25,A0A023PYD3,1,111
26,A0A023PYE9,1,183
27,A0A023PYF4,40,145
28,A0A023PYF7,1,126
29,A0A023PYG1,1,113
30,A0A023PYH0,1,136
31,A0A023PYH5,1,124
32,A0A023PYH8,1,122
33,A0A023PYI2,1,110
34,A0A023PYI5,1,84
35,A0A023PYJ7,1,83
36,A0A023PZA9,1,100
37,A0A023PZB3,1,126
38,A0A023PZC3,1,113
39,A0A023PZC7,10,122
40,A0A023PZD5,1,153
41,A0A023PZE1,1,75
42,A0A023PZE6,1,104
43,A0A023PZF2,1,135
44,A0A023PZG0,1,170
45,A0A023PZG4,1,107
46,A0A023PZG5,26,101
47,A0A023PZG9,25,121
48,A0A023PZH1,26,118
49,A0A023PZH9,25,130
50,A0A023PZI4,1,120
51,A0A023PZI9,28,116
52,A0A023PZJ9,1,123
53,A0A023PZK4,19,127
54,A0A023PZK9,1,126
55,A0A023PZL2,1,124
56,A0A023PZL7,1,119
57,A0A023PZM3,1,137
58,A0A023VZM6,1,78
59,A0A023VZR2,23,206
60,A0A023W082,1,78
61,A0A023W090,1,78
62,A0A023W0B6,1,167
63,A0A023W0U0,1,78
64,A0A023W0V9,1,167
65,A0A023W0W9,1,145
66,A0A023W123,1,78
67,A0A023W157,1,167
68,A0A023W168,1,122
69,A0A024B7I0,38,114
70,A0A024F910,354,482
71,A0A024F910,8792,8903
72,A0A059JJ46,31,151
73,A0A060A682,645,742
74,A0A060XQP6,123,237
75,A0A063CBJ7,21,130
76,A0A067XMN9,326,444
77,A0A069CUU9,424,506
78,A0A069CUU9,520,896
79,A0A075FAK4,1,81
80,A0A075TR41,218,326
81,A0A075TRC0,1230,1408
82,A0A075TXZ8,670,799
83,A0A078CGE6,385,577
84,A0A078CGE6,1187,1299
85,A0A084AFG9,1,101
86,A0A084API5,1,153
87,A0A084B9Y9,201,294
88,A0A084B9Z8,1,672
89,A0A084B9Z8,693,842
90,A0A084B9Z8,1833,1930
91,A0A084JZA8,365,472
92,A0A084JZF2,24,303
93,A0A084R1N2,1,234
94,A0A086F3E3,94,192
95,A0A086T5L8,423,514
96,A0A088MIT0,42,134
97,A0A089GT80,1,224
98,A0A089GT80,301,408
99,A0A089GT84,69,365
100,A0A089GT84,380,494
101,A0A097PTA8,1,127
102,A0A097SRX3,1,94
103,A0A097SRX3,112,328
104,A0A097ZPE2,1,115
105,A0A098D065,1267,1429
106,A0A098D8A0,1283,1395
107,A0A098DT87,75,182
108,A0A098DT87,195,589
109,A0A0A0VBX4,1,95
110,A0A0A2JW91,1272,1504
111,A0A0A2JWD5,1,114
112,A0A0A2KMZ4,377,463
113,A0A0A7DNP6,16,94
114,A0A0A7EPL0,733,847
115,A0A0A7HF79,254,357
116,A0A0A7HFE6,289,386
117,A0A0A7HMS2,405,553
118,A0A0A7HMS2,565,705
119,A0A0B4K753,1,88
120,A0A0B4K7J2,151,333
121,A0A0B4K7J2,340,757
122,A0A0B4K7J2,771,911
123,A0A0B7P3V8,1,212
124,A0A0C5URS1,1,337
125,A0A0C5URS1,350,470
126,A0A0C5URS1,484,1131
127,A0A0C5XKJ0,1,97
128,A0A0D1E6B3,1,302
129,A0A0D1E6B3,318,415
130,A0A0D1E9B9,377,462
131,A0A0D1EAR7,19,120
132,A0A0D2Y4S0,313,390
133,A0A0D2Y4S0,430,532
134,A0A0D2YFZ9,181,416
135,A0A0D4BS77,37,133
136,A0A0D4BSN8,1,303
137,A0A0D4BSN8,324,443
138,A0A0D4BSN8,457,570
139,A0A0E3D8L0,1,170
140,A0A0E3D8L0,184,368
141,A0A0E3D8M3,1,165
142,A0A0E3D8M3,176,349
143,A0A0E4AY46,75,291
144,A0A0E4AY46,304,465
145,A0A0E4AYE7,266,374
146,A0A0E4AZF8,663,751
147,A0A0F6B506,1,181
148,A0A0F7YZQ7,17,100
149,A0A0G2KBC9,589,761
150,A0A0H2URA3,263,404
151,A0A0H2URB1,258,549
152,A0A0H2URH2,258,398
153,A0A0H2URH7,550,696
154,A0A0H2URJ6,260,406
155,A0A0H2URK1,141,374
156,A0A0H2V8B5,1,112
157,A0A0H2XDF9,1,105
158,A0A0H2XIK2,1,130
159,A0A0H2ZJS4,201,439
160,A0A0H2ZKA1,1,77
161,A0A0H2ZLQ1,1,98
162,A0A0H3AIG7,734,896
163,A0A0H3B0B8,385,493
164,A0A0H3B0B8,507,703
